field_id,crop_id,crop_type,area_m2,n_fragments,n_source_chips,source_pixels,geometry_type,period_index,period_start,period_end,period_mid,days_from_start,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,GNDVI,EVI,LSWI,S2_OBS_COUNT,S2_CLEAR_COUNT,S2_CLEAR_FRAC,S2_CS_CDF_MED,S1A_VV,S1A_VH,S1A_VVminusVH,S1A_ANGLE,S1A_COUNT,S1D_VV,S1D_VH,S1D_VVminusVH,S1D_ANGLE,S1D_COUNT,S1_TOTAL_COUNT
766,14,Coriander,6302.6190746437,1,1,63,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.09600000083446503,0.10559999942779541,0.09126836730631681,0.1298000067472458,0.22100000083446503,0.24950000643730164,0.26080000400543213,0.2754000127315521,0.20329999923706055,0.11540000140666962,0.46996318302543993,0.3445674180984497,0.41040781140327454,0.3719441408266401,0.13180119245425684,1.0,1.0,1.0,0.8627451062202454,-10.9682505347512,-17.10664041881668,6.620326995849609,37.31856155395508,2.0,-9.650485833485922,-14.51927375793457,5.346163796627615,39.57731049885682,1.0,3.0
5270,8,Garlic,14701.469948495258,1,1,147,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.08460000157356261,0.0982000008225441,0.1143999993801117,0.1265999972820282,0.13670000433921814,0.147599995136261,0.15711428437914168,0.1599999964237213,0.20829999446868896,0.1897666652997335,0.15948425233364105,0.11644403125352903,0.23471064984798432,0.08922582119703293,-0.13790788045587937,1.0,1.0,1.0,0.8705882430076599,-10.909535598754882,-19.477041716969342,8.511338233947754,43.41147232055664,1.0,-10.473208321856397,-20.536510467529297,9.77930786698805,44.854190826416016,1.0,2.0
5302,8,Garlic,7000.881513628696,1,1,70,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.09080000221729279,0.10300000011920929,0.11299999803304672,0.12489999830722809,0.1404000073671341,0.15230000019073486,0.16089999675750732,0.16500000655651093,0.21899999678134918,0.18780000507831573,0.1688246427250928,0.13743095099925995,0.21421265105406442,0.10215887641379845,-0.1548166306658164,1.0,1.0,1.0,0.8745098114013672,-11.260179623780672,-20.64506721496582,9.297449111938477,43.45673370361328,1.0,-12.222134351730347,-20.477292483614892,8.683036713011235,45.18424989477161,1.0,2.0
5318,8,Garlic,8501.442554243124,1,1,85,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.09232651122365286,0.10719999670982361,0.12439999729394913,0.13840000331401825,0.14920000731945038,0.1623000055551529,0.1721999943256378,0.17810000479221344,0.24410000443458557,0.21379999816417694,0.1580865941941738,0.1218273937702179,0.23087431490421295,0.09531714270512263,-0.17140365323466714,1.0,1.0,1.0,0.8627451062202454,-10.860170125961304,-17.634146536331,6.894890785217285,43.08526611328125,1.0,-10.576847664265927,-20.59317684173584,10.166236400604248,45.391578674316406,1.0,2.0
5358,8,Garlic,6700.6097508886805,1,1,67,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.0796741904306267,0.09239999949932097,0.1039000004529953,0.11760000139474869,0.14149999618530273,0.155799999833107,0.1632000058889389,0.1729000061750412,0.18250000476837158,0.1451999992132187,0.21693485975265503,0.17742948234081268,0.268299080668741,0.12157297879457474,-0.0557089190023314,1.0,1.0,1.0,0.8666666746139526,-10.517048354390301,-18.40080337524414,8.337499141693115,43.46957015991211,1.0,-10.979081524373761,-18.46772861480713,7.057358264923095,44.79546000269168,1.0,2.0
5462,8,Garlic,12201.205113629661,1,1,122,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.09409999847412108,0.10760000348091127,0.11956555473371175,0.13359999656677246,0.14820000529289246,0.15909999608993527,0.16934112764821194,0.17339999973773956,0.22849999368190765,0.20659999549388885,0.1692822352051735,0.12726954337788718,0.21997933571997177,0.10310966286757223,-0.1501592008052049,1.0,1.0,1.0,0.8666666746139526,-12.476919492085775,-21.77435322770643,9.157953262329102,43.48653793334961,1.0,-12.607656844118809,-20.8492374420166,8.574116071065268,44.90743993815019,1.0,2.0
5822,13,Gram,5599.488904936772,1,1,56,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.09040000289678574,0.0997999981045723,0.10980000346899033,0.1200999990105629,0.12460000067949295,0.13410000503063202,0.14100000262260437,0.14669999480247498,0.20160000026226044,0.18549999594688416,0.12210199981927872,0.10257364809513092,0.16984261572360992,0.06779369711875916,-0.17193426191806793,1.0,1.0,1.0,0.8549019694328308,-11.611309051513672,-19.626445770263672,7.665231227874756,44.55210494995117,1.0,-11.056876182556152,-22.095054626464844,9.904050827026367,43.73736190795898,1.0,2.0
7006,9,Maize,5404.026297045748,1,1,54,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.09839999675750732,0.13179999589920044,0.15299999713897705,0.17684999108314514,0.19714999198913574,0.21209999918937683,0.21464665752390155,0.22264999151229858,0.2958499789237976,0.2886500060558319,0.156408429145813,0.10910382866859436,0.23557576537132263,0.1047057057307525,-0.15314975380897522,4.0,4.0,1.0,0.886274516582489,-12.055530230204264,-21.653451919555664,9.85466083128061,35.76685333251953,1.0,-10.011136054992676,-15.99316692352295,6.714287440436227,43.09614937765556,1.0,2.0
7278,9,Maize,100.07705631414072,1,1,1,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.057099997997283936,0.08650000393390656,0.06830000132322311,0.10379999876022339,0.09669999778270721,0.09755000472068787,0.11879999935626984,0.08269999921321869,0.031849998980760574,0.01875000074505806,0.2769487500190735,-0.11009100079536438,0.16593560576438904,0.1154388040304184,0.5607373118400574,4.0,4.0,1.0,0.8725490570068359,-13.58156967163086,-18.10645294189453,3.6468563079833984,34.839786529541016,1.0,-15.302730560302734,-24.216596603393555,8.751052856445312,43.6490592956543,1.0,2.0
1494,2,Mustard,8202.306662050778,1,1,82,Polygon,0.0,2021-11-01,2021-11-10,2021-11-06,5.0,0.11824999749660492,0.14180000126361847,0.14100000262260437,0.17790000140666962,0.24310000240802765,0.27000001072883606,0.2727999985218048,0.2822999954223633,0.26739999651908875,0.2046000063419342,0.32284319400787354,0.23292182385921478,0.3130519986152649,0.26722633838653564,0.012256441202864548,1.0,1.0,1.0,0.8549019694328308,-10.3507080078125,-18.581203430202883,7.725085258483887,38.52116775512695,2.0,-9.743893925240837,-17.608521113167484,7.635768175125122,38.39430618286133,1.0,3.0
