system:index,EVI,NDMI,NDVI,NDWI,SAVI,VH,VV,VV_VH_ratio,canal_priority_score,crop_type,field_id,growth_stage,latitude,longitude,moisture_stress,recommended_depth_mm,sar_available,stress_score,water_deficit_mm,.geo
0,0.06741736038272192,-0.15300849080085754,0.0842454582452774,-0.18074660003185272,0.062208582231175556,-25.924204153253392,-11.773941041797162,0.4541679052657623,10.0,Unclassified,GEE-PIXEL-0,Sowing/Planting,29.80390928361676,76.86845147841248,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.86845147841248,29.80390928361676]}"
1,0.07079592344478619,-0.22307829558849335,0.1137477457523346,-0.24689576029777527,0.0745184203077193,-19.59031038866114,-11.82713561990792,0.6037237792045009,10.0,Unclassified,GEE-PIXEL-1,Sowing/Planting,29.593334989577983,76.54496763729891,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.54496763729891,29.593334989577983]}"
2,0.0493224767637781,-0.19268059730529785,0.07329139113426208,-0.1809098869562149,0.05138348688442909,-21.227349260360743,-12.235473921293602,0.5764014313620947,10.0,Unclassified,GEE-PIXEL-2,Sowing/Planting,29.734659516197805,76.69554759202381,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.69554759202381,29.734659516197805]}"
3,0.08794920489460317,-0.14134080708026886,0.10894659906625748,-0.2261667102575302,0.08592563820152421,-22.7836943062179,-12.828271634076538,0.5630461866591039,10.0,Unclassified,GEE-PIXEL-3,Sowing/Planting,29.890614287668974,76.92270020031155,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.92270020031155,29.890614287668974]}"
4,0.11269965158891872,-0.10180222243070602,0.23427043855190277,-0.36947643756866455,0.1314471842355267,-20.17085276128138,-3.9297399959535975,0.1948227096436683,10.0,Unclassified,GEE-PIXEL-4,Sowing/Planting,29.5873520131776,76.98863168190444,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.98863168190444,29.5873520131776]}"
5,0.09485371222503242,-0.1505117267370224,0.12953926622867584,-0.24518828094005585,0.08392859505481018,-22.216005743725088,-12.482135623795008,0.5618533020578593,10.0,Unclassified,GEE-PIXEL-5,Sowing/Planting,29.656526102376066,76.73072290317897,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.73072290317897,29.656526102376066]}"
6,0.05942587669687367,-0.23384244740009308,0.08758904784917831,-0.17684844136238098,0.05911390181688962,-19.43495678592105,-10.733474022311324,0.5522767399392182,10.0,Unclassified,GEE-PIXEL-6,Sowing/Planting,29.782610113988447,76.77650195634973,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.77650195634973,29.782610113988447]}"
7,0.35635484936657336,9.501748718321323E-5,0.6250373721122742,-0.7210637927055359,0.366866703468663,-19.362256521560113,-12.1309397972993,0.6265251372078706,9.999144842615351,Unclassified,GEE-PIXEL-7,Flowering,29.71480168114673,76.72697827258855,Severe Stress,49.99524912564084,1,0.9999049825128168,39.99619930051267,"{""type"":""Point"",""coordinates"":[76.72697827258855,29.71480168114673]}"
8,0.07621437828320175,-0.08449916541576385,0.07492510229349136,-0.13453535735607147,0.06133020604815466,-22.153917869547975,-11.347719309253314,0.5122218060162312,10.0,Unclassified,GEE-PIXEL-8,Sowing/Planting,29.815872173692792,77.09271309100697,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.09271309100697,29.815872173692792]}"
9,0.06681429476194779,-0.15233376622200012,0.07211123406887054,-0.11952824890613556,0.05185341105251895,-29.635463678808133,-17.225171083987036,0.5812350989986228,10.0,Unclassified,GEE-PIXEL-9,Sowing/Planting,29.661393062904203,76.88238758743643,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.88238758743643,29.661393062904203]}"
11,0.09855826791425777,-0.15925508737564087,0.10850348323583603,-0.1824408918619156,0.08592649482285673,-25.04422054008193,-13.66386547306541,0.5455895900927209,10.0,Unclassified,GEE-PIXEL-11,Sowing/Planting,29.80821015269484,76.7711057481983,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.7711057481983,29.80821015269484]}"
12,0.06419352775975826,-0.1877678483724594,0.09329468011856079,-0.21638518571853638,0.06659182586311568,-22.332142708416516,-11.634922563630246,0.520994480311993,10.0,Unclassified,GEE-PIXEL-12,Sowing/Planting,29.806205163095928,76.81788988777534,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.81788988777534,29.806205163095928]}"
13,0.06322177870720713,-0.22865627706050873,0.08634936064481735,-0.16479821503162384,0.053414017339775126,-19.27308731708345,-9.35566292043824,0.4854262968845568,10.0,Unclassified,GEE-PIXEL-13,Sowing/Planting,29.554738634896754,76.8477048981586,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.8477048981586,29.554738634896754]}"
