system:index,band_order,chirps_day_count,composite_days_config,era5_day_count,export_crs,no_data_value,period_day_count,period_end_exclusive,period_index,period_last_date,period_start,s1_available,s1_scene_count,s2_available,s2_scene_count,satellite_scale_m,.geo
0,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-06-09,0.0,2025-06-08,2025-06-01,1,2,1,8,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-06-17,1.0,2025-06-16,2025-06-09,0,0,1,4,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-06-25,2.0,2025-06-24,2025-06-17,1,2,1,6,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-07-03,3.0,2025-07-02,2025-06-25,1,2,1,8,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-07-11,4.0,2025-07-10,2025-07-03,0,0,1,1,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-07-19,5.0,2025-07-18,2025-07-11,1,2,1,2,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-07-27,6.0,2025-07-26,2025-07-19,1,2,0,0,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-08-04,7.0,2025-08-03,2025-07-27,0,0,1,1,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-08-12,8.0,2025-08-11,2025-08-04,1,2,0,0,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-08-20,9.0,2025-08-19,2025-08-12,1,2,1,1,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-08-28,10.0,2025-08-27,2025-08-20,0,0,1,4,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-09-05,11.0,2025-09-04,2025-08-28,1,2,0,0,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_dB,optical_valid,sar_valid",8,8,8,EPSG:32643,-9999,8.0,2025-09-13,12.0,2025-09-12,2025-09-05,1,2,1,12,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
