fold,feature,importance_mean,importance_std
0,B2__p00,-0.0011390723146682824,0.000518476068780277
0,B2__p01,-0.0005291205614286754,0.000946293795594022
0,B2__p02,-0.00014617604827174557,0.00026749152846358704
0,B2__p03,-0.0006205962458880054,0.0
0,B2__p04,-0.00025061772201900867,0.00036997852386899677
0,B2__p05,0.00011004825864785461,0.0005237158353831872
0,B2__p06,0.0,0.0
0,B2__p07,0.02779595593923076,0.012698412698412681
0,B2__p08,-0.0008331461873825052,0.0008331461873825052
0,B2__p09,-0.0027541347081935785,0.000755905052323369
0,B2__p10,-0.000245910814527045,0.0006630840486923917
0,B2__p11,-0.0009991148279351048,0.0009991148279351048
0,B2__p12,-0.0009460183510816289,0.0009460183510816289
0,B2__p13,-0.002477142412036809,0.0003503943568401169
0,B2__p14,-0.0018920367021632578,0.0
0,B2__p15,-0.0003102981229440027,0.0003102981229440027
0,B2__p16,0.007136240447836728,0.000255273214347318
0,B2__p17,-0.0005522180530556642,0.0005522180530556642
0,B2__p18,-0.0006029421234099441,0.0006029421234099441
0,B2__p19,0.0034004215948802985,0.0
0,B2__p20,-0.0019745186522844016,8.248195012114379e-05
0,B3__p00,0.0,0.0
0,B3__p01,0.0,0.0
0,B3__p02,0.0,0.0
0,B3__p03,-0.0012382308348940496,0.0012382308348940496
0,B3__p04,0.003788868274028606,0.003788868274028606
0,B3__p05,0.0,0.0
0,B3__p06,0.0,0.0
0,B3__p07,0.0,0.0
0,B3__p08,0.0,0.0
0,B3__p09,0.0,0.0
0,B3__p10,0.0007355654312267701,0.0
0,B3__p11,0.0,0.0
0,B3__p12,-0.0002925273939821671,0.0006357760513449606
0,B3__p13,6.708880336769862e-06,6.708880336769862e-06
0,B3__p14,-0.0022023348251072883,0.0003102981229440305
0,B3__p15,0.0,0.0
0,B3__p16,0.0,0.0
0,B3__p17,-0.0006205962458880054,0.0
0,B3__p18,-0.0003102981229440027,0.0003102981229440027
0,B3__p19,-0.0020570006024055454,0.0
0,B3__p20,-0.0036364582233393006,0.0003125790812294471
0,B4__p00,0.003955942433232079,0.003955942433232079
0,B4__p01,0.007911884866464158,0.0
0,B4__p02,0.0,0.0
0,B4__p03,0.0,0.0
0,B4__p04,0.0,0.0
0,B4__p05,0.0,0.0
0,B4__p06,0.0,0.0
0,B4__p07,-0.0003102981229440027,0.0003102981229440027
0,B4__p08,0.0,0.0
0,B4__p09,0.0,0.0
0,B4__p10,0.0,0.0
0,B4__p11,0.0,0.0
0,B4__p12,-0.0003102981229440027,0.0003102981229440027
0,B4__p13,-0.0005707762557077556,0.0005707762557077556
0,B4__p14,0.006389818430635658,3.195475423747873e-05
0,B4__p15,-0.0003102981229440027,0.0003102981229440027
0,B4__p16,-0.0010688834509159917,3.555265519533668e-05
0,B4__p17,0.0,0.0
0,B4__p18,0.0,0.0
