feature_set,model,scenario,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A1_S2_temporal,CatBoost,random_0,0,0.694829760403531,0.41582499575112286,0.3801324106588119,0.41582499575112286,0.38863388495781975,0.6973535767762449,0.5947785113278427,0.5961023519132412
A1_S2_temporal,CatBoost,random_20,0,0.6917672491442983,0.37381267297859516,0.43043533328653244,0.37381267297859516,0.3701328343324809,0.6892651284487102,0.5863961855519213,0.5874460315179253
A1_S2_temporal,CatBoost,random_20,1,0.6876238515582778,0.37305720584297525,0.4014795691222167,0.37305720584297525,0.3664080679139602,0.6853321446390814,0.5811574519368843,0.5823216059047096
A1_S2_temporal,CatBoost,random_20,2,0.6914069537020356,0.3742030119223702,0.3961350770904945,0.3742030119223702,0.36672996007103015,0.6890257751781093,0.5860496684866987,0.5872409128607793
A1_S2_temporal,CatBoost,random_20,3,0.6896054764907223,0.37606367424369086,0.37683621268735507,0.37606367424369086,0.36332520101763627,0.6882858696088349,0.5846754969619399,0.5860626996267363
A1_S2_temporal,CatBoost,random_20,4,0.6937488740767429,0.3736424786873979,0.37595027100235323,0.3736424786873979,0.36144852776893155,0.6909962325957207,0.589227931595244,0.5903088224078793
A1_S2_temporal,CatBoost,random_20,5,0.6903260673752477,0.38629225878199835,0.3865626706225384,0.38629225878199835,0.3745681145685407,0.687561757145368,0.5851995184539475,0.5863612309848191
A1_S2_temporal,CatBoost,random_20,6,0.6930282831922177,0.3788377974285165,0.3905005497977762,0.3788377974285165,0.3700978841998417,0.6905725384653476,0.5881560506886254,0.5891325841401831
A1_S2_temporal,CatBoost,random_20,7,0.6906863628175104,0.38192384142078484,0.3883595932074065,0.38192384142078484,0.36746222655378635,0.6877333742411724,0.5857290372260113,0.5868696899344165
A1_S2_temporal,CatBoost,random_20,8,0.6894253287695911,0.3705634573430653,0.37126805289613196,0.3705634573430653,0.35713122452259505,0.686672113043055,0.5840652163104059,0.5853365431770264
A1_S2_temporal,CatBoost,random_20,9,0.6935687263556116,0.3722398907247688,0.40590381288439875,0.3722398907247688,0.3628365657378974,0.691511425173884,0.5892389289522304,0.5904852809369878
A1_S2_temporal,CatBoost,random_20,10,0.6861826697892272,0.36936599522483227,0.3767990507319672,0.36936599522483227,0.3573772941789265,0.6839285664664629,0.5797420173581985,0.5808915018527019
A1_S2_temporal,CatBoost,random_20,11,0.6959106467303189,0.3664177993152254,0.36819760979060245,0.3664177993152254,0.3522502147574267,0.6941108526597142,0.5926061980232673,0.5938129749381742
A1_S2_temporal,CatBoost,random_20,12,0.6896054764907223,0.3709982514077665,0.4076127601157077,0.3709982514077665,0.3643704042406081,0.6871411047344775,0.5836680530798177,0.5847484814114964
A1_S2_temporal,CatBoost,random_20,13,0.691587101423167,0.36746409607838415,0.38302468326710637,0.36746409607838415,0.36123559287771345,0.6893886438654873,0.5863673631016895,0.587598239767379
A1_S2_temporal,CatBoost,random_20,14,0.6908665105386417,0.36352677905931213,0.3687960190767003,0.36352677905931213,0.35238930059268764,0.6886273399450609,0.5856088374993376,0.586769980604554
