feature_set,model,test_season,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
S1_S2_fusion,RandomForest,LOSO_OOF,0.6440677966101694,0.5037784679089027,0.4884321475625823,0.5037784679089027,0.49271512251464405,0.6427295952255435,0.5063745019920318,0.5075880213345875
S1_S2_fusion,SVM_RBF,LOSO_OOF,0.6610169491525424,0.4803312629399586,0.4917948717948718,0.4803312629399586,0.4820546400378333,0.6468097254310045,0.5163934426229508,0.5189664102977025
S1_S2_fusion,KNN,LOSO_OOF,0.6610169491525424,0.4920031055900621,0.5164717348927875,0.4920031055900621,0.47557142857142853,0.633317191283293,0.5173824130879345,0.5280197486672468
S1_S2_fusion,CatBoost,LOSO_OOF,0.6101694915254238,0.4424689440993788,0.4996498599439776,0.4424689440993788,0.46147283101370445,0.6251510492784431,0.46150793650793653,0.464828137490008
S1_S2_fusion,ExtraTrees,LOSO_OOF,0.5932203389830508,0.4337732919254658,0.44603174603174606,0.4337732919254658,0.43701054890041124,0.5910111610457381,0.42972211035038255,0.43096075617549
S1_S2_fusion,GradientBoosting,LOSO_OOF,0.5254237288135594,0.36770186335403726,0.42506493506493503,0.36770186335403726,0.38019094657464775,0.512755869493805,0.3029535864978903,0.3130865678178763
S1_S2_fusion,XGBoost,LOSO_OOF,0.5084745762711864,0.3586438923395445,0.37592592592592594,0.3586438923395445,0.36124879042526103,0.49625046937110745,0.29733059548254615,0.299858906564841
S1_S2_fusion,LogisticRegression,LOSO_OOF,0.4915254237288136,0.34197722567287786,0.3753968253968254,0.34197722567287786,0.35177575207876244,0.4956516444292757,0.29510155316606923,0.29747379562851367
S1_S2_fusion,GaussianNB,LOSO_OOF,0.4745762711864407,0.32101449275362315,0.29917460317460315,0.32101449275362315,0.3023545560130926,0.44885994534609663,0.2571080422420796,0.26284719183010447
S1_S2_fusion,HistGradientBoosting,LOSO_OOF,0.2033898305084746,0.2,0.04067796610169492,0.2,0.0676056338028169,0.06875149200286465,0.0,0.0
S1_S2_fusion,LightGBM,LOSO_OOF,0.2033898305084746,0.2,0.04067796610169492,0.2,0.0676056338028169,0.06875149200286465,0.0,0.0
S1_only,RandomForest,LOSO_OOF,0.6440677966101694,0.45163043478260867,0.41215488215488216,0.45163043478260867,0.42896618357487926,0.6045230492098583,0.4839650145772595,0.4919376292569957
S1_only,CatBoost,LOSO_OOF,0.559322033898305,0.4043478260869565,0.3634387351778656,0.4043478260869565,0.3806636155606407,0.5272078501338091,0.37336601307189543,0.37920271258393967
S1_only,GradientBoosting,LOSO_OOF,0.5423728813559322,0.36793478260869567,0.37293233082706767,0.36793478260869567,0.36336134453781516,0.5218060105398091,0.33872976338729766,0.3434606270102006
S1_only,XGBoost,LOSO_OOF,0.5084745762711864,0.34257246376811595,0.33060428849902534,0.34257246376811595,0.332952380952381,0.48561743341404356,0.2947238252267106,0.29805641337124844
S1_only,ExtraTrees,LOSO_OOF,0.5084745762711864,0.3501811594202898,0.3242020202020202,0.3501811594202898,0.32873403019744485,0.47673379397232224,0.3004905968928864,0.30759967081866674
S1_only,KNN,LOSO_OOF,0.4406779661016949,0.3230072463768116,0.32857142857142857,0.3230072463768116,0.29148164528969484,0.4002248892420483,0.22921615201900236,0.25640873803111947
S1_only,SVM_RBF,LOSO_OOF,0.4406779661016949,0.2960144927536231,0.2857142857142857,0.2960144927536231,0.28522875816993465,0.41546471696023046,0.18874999999999997,0.19203799273231778
S1_only,GaussianNB,LOSO_OOF,0.4406779661016949,0.30362318840579705,0.2658119658119658,0.30362318840579705,0.2778231292517007,0.3993081978554133,0.1856963613550815,0.19152354818541775
