feature_set,model,test_season,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
S2_only,LogisticRegression,wheat_2023_24,0.5882352941176471,0.519047619047619,0.5180952380952382,0.519047619047619,0.48790890269151144,0.6013213981244672,0.4509803921568627,0.47977229799855536
S2_only,LogisticRegression,wheat_2024_25,0.48,0.4548611111111111,0.5111111111111111,0.3638888888888889,0.39176470588235296,0.5016470588235294,0.2950108459869849,0.30155877812554044
S2_only,SVM_RBF,wheat_2023_24,0.5588235294117647,0.5261904761904762,0.5320175438596492,0.5261904761904762,0.47870370370370374,0.5239651416122005,0.41714285714285715,0.4791313688541288
S2_only,SVM_RBF,wheat_2024_25,0.56,0.5138888888888888,0.5583333333333333,0.4111111111111111,0.4388235294117647,0.5816470588235295,0.40347071583514105,0.41242597596581265
S2_only,KNN,wheat_2023_24,0.4117647058823529,0.3583333333333333,0.37547619047619046,0.3583333333333333,0.3348850574712644,0.42035158891142665,0.17973462002412532,0.18351145368823585
S2_only,KNN,wheat_2024_25,0.52,0.5520833333333334,0.510909090909091,0.4416666666666667,0.4519298245614035,0.5257543859649122,0.34065934065934067,0.34990942123052915
S2_only,GaussianNB,wheat_2023_24,0.3235294117647059,0.3583333333333333,0.19340659340659339,0.3583333333333333,0.2496969696969697,0.23493761140819966,0.14907508161044603,0.17542145374230542
S2_only,GaussianNB,wheat_2024_25,0.56,0.5833333333333334,0.4424242424242424,0.4666666666666667,0.4329824561403509,0.527438596491228,0.3902439024390244,0.4019312523830283
S2_only,RandomForest,wheat_2023_24,0.38235294117647056,0.30238095238095236,0.3333333333333333,0.30238095238095236,0.29675213675213674,0.3978883861236802,0.15201900237529697,0.15628920480436517
S2_only,RandomForest,wheat_2024_25,0.36,0.3645833333333333,0.3083333333333333,0.29166666666666663,0.287843137254902,0.35733333333333334,0.10913140311804015,0.11036483918020597
S2_only,ExtraTrees,wheat_2023_24,0.4117647058823529,0.3904761904761904,0.40888888888888886,0.3904761904761904,0.3613526570048309,0.42114236999147486,0.2093023255813954,0.22224661276364374
S2_only,ExtraTrees,wheat_2024_25,0.56,0.5798611111111112,0.5342857142857144,0.4638888888888889,0.47777777777777775,0.5711111111111111,0.3942731277533039,0.4004484293723767
S2_only,GradientBoosting,wheat_2023_24,0.3235294117647059,0.2630952380952381,0.23846153846153845,0.2630952380952381,0.24074074074074076,0.30656707127295363,0.05326876513317169,0.05474008843501415
S2_only,GradientBoosting,wheat_2024_25,0.36,0.3645833333333333,0.3071428571428571,0.29166666666666663,0.2849821746880571,0.3585739750445633,0.11699779249448128,0.11883527555222277
S2_only,HistGradientBoosting,wheat_2023_24,0.23529411764705882,0.2,0.047058823529411764,0.2,0.07619047619047618,0.0896358543417367,0.0,0.0
S2_only,HistGradientBoosting,wheat_2024_25,0.16,0.25,0.032,0.2,0.05517241379310345,0.044137931034482755,0.0,0.0
S2_only,XGBoost,wheat_2023_24,0.35294117647058826,0.2773809523809524,0.2757142857142857,0.2773809523809524,0.27301587301587305,0.35480859010270777,0.08780487804878045,0.08834681702275188
S2_only,XGBoost,wheat_2024_25,0.52,0.5486111111111112,0.5031746031746032,0.43888888888888894,0.40307692307692305,0.5024615384615384,0.34497816593886466,0.3599845419346415
S2_only,LightGBM,wheat_2023_24,0.23529411764705882,0.2,0.047058823529411764,0.2,0.07619047619047618,0.0896358543417367,0.0,0.0
S2_only,LightGBM,wheat_2024_25,0.16,0.25,0.032,0.2,0.05517241379310345,0.044137931034482755,0.0,0.0
S2_only,CatBoost,wheat_2023_24,0.29411764705882354,0.31190476190476185,0.2712454212454213,0.31190476190476185,0.2632034632034632,0.2897886427298192,0.07482993197278898,0.07952176622967595
S2_only,CatBoost,wheat_2024_25,0.48,0.4201388888888889,0.3888888888888889,0.33611111111111114,0.35256769374416436,0.48728291316526606,0.28097345132743357,0.2841170420686695
S1_only,LogisticRegression,wheat_2023_24,0.47058823529411764,0.28214285714285714,0.21000000000000002,0.28214285714285714,0.2405228758169935,0.3971549404075356,0.21938775510204078,0.23713876356966174
S1_only,LogisticRegression,wheat_2024_25,0.36,0.2777777777777778,0.2333333333333333,0.22222222222222224,0.19636363636363638,0.3214545454545455,0.19191919191919193,0.2190079868391099
S1_only,SVM_RBF,wheat_2023_24,0.35294117647058826,0.19285714285714287,0.1340659340659341,0.19285714285714287,0.15333333333333332,0.26862745098039215,-0.02046384720327432,-0.025230224940568587
S1_only,SVM_RBF,wheat_2024_25,0.56,0.5555555555555556,0.4230769230769231,0.4444444444444445,0.35844155844155845,0.48138528138528136,0.40604751619870405,0.45326609051364497
S1_only,KNN,wheat_2023_24,0.35294117647058826,0.2571428571428571,0.3536842105263158,0.2571428571428571,0.2148148148148148,0.31154684095860563,0.11374407582938373,0.128593932428398
S1_only,KNN,wheat_2024_25,0.56,0.5555555555555556,0.4333333333333333,0.4444444444444445,0.3660606060606061,0.47224242424242424,0.3902439024390244,0.45913112912132525
S1_only,GaussianNB,wheat_2023_24,0.4117647058823529,0.24285714285714288,0.1769230769230769,0.24285714285714288,0.2,0.3235294117647059,0.06593406593406592,0.0820840286516541
S1_only,GaussianNB,wheat_2024_25,0.48,0.5,0.18888888888888888,0.4,0.2564102564102564,0.3117948717948718,0.2950108459869847,0.3786200927092679
S1_only,RandomForest,wheat_2023_24,0.6470588235294118,0.4321428571428571,0.44222222222222224,0.4321428571428571,0.4246794871794872,0.620946455505279,0.47759282970550576,0.4896328783084659
S1_only,RandomForest,wheat_2024_25,0.64,0.6076388888888888,0.3844444444444445,0.48611111111111105,0.42666666666666675,0.5768888888888889,0.48863636363636365,0.5028857985671898
S1_only,ExtraTrees,wheat_2023_24,0.47058823529411764,0.29285714285714287,0.4,0.29285714285714287,0.273202614379085,0.4252210688196848,0.21437740693196417,0.2291734503540629
