period_start,point_count,optical_valid_count,sar_valid_count,optical_valid_pct,sar_valid_pct
2025-06-01,4311,4311,4311,100.0,100.0
2025-06-17,4311,1344,4311,31.17606123869172,100.0
2025-07-03,4311,70,4311,1.6237531895151938,100.0
2025-07-19,4311,0,4311,0.0,100.0
2025-08-04,4311,0,4311,0.0,100.0
2025-08-20,4311,1107,4311,25.678496868475992,100.0
2025-09-05,4311,4310,4311,99.97680352586407,100.0
2025-09-21,4311,4311,4311,100.0,100.0
2025-10-07,4311,4311,4311,100.0,100.0
2025-10-23,4311,1806,4311,41.892832289492,100.0
